S.No,Date,Outstanding Principal,Outstanding Interest,Principle Overdue,Interest Overdue
1,01/02/2018,100000,0,0,0
2,02/02/2018,100000,0,0,0
3,03/02/2018,98000,0,0,0
4,04/02/2018,98000,0,0,0
5,05/02/2018,98000,26.85,98000,26.85
6,06/02/2018,98000,53.7,98000,53.7
7,07/02/2018,98000,80.55,98000,80.55
8,08/02/2018,98000,107.4,98000,107.4
9,09/02/2018,98000,134.25,98000,134.25
10,10/02/2018,98000,161.1,98000,161.1
11,11/02/2018,98000,187.95,98000,187.95
12,12/02/2018,98000,214.79,98000,214.79
13,13/02/2018,98000,241.64,98000,241.64
14,14/02/2018,98000,268.49,98000,268.49
15,15/02/2018,98000,295.34,98000,295.34
16,16/02/2018,98000,322.19,98000,322.19
17,17/02/2018,98000,349.04,98000,349.04
18,18/02/2018,98000,375.89,98000,375.89
19,19/02/2018,98000,402.74,98000,402.74
20,20/02/2018,98000,429.59,98000,429.59
21,21/02/2018,98000,456.44,98000,456.44
22,22/02/2018,98000,483.29,98000,483.29
23,23/02/2018,98000,510.14,98000,510.14
24,24/02/2018,98000,536.99,98000,536.99
25,25/02/2018,98000,563.84,98000,563.84
26,26/02/2018,98000,590.68,98000,590.68
27,27/02/2018,98000,617.53,98000,617.53
28,28/02/2018,98000,644.38,98000,644.38
